employeeID ,firstName,lastName,gender,jobID ,companyID ,distanceFromHome ,yearsAtCompany ,yearsSinceLastPromotion ,yearsWithCurrManager 
100,Emma,SMITH,F,1734,43,6,1,0,0
101,Olivia,JOHNSON,F,5536,5291,10,5,1,4
102,Noah,WILLIAMS,M,5043,1596,17,5,0,3
103,Liam,BROWN,M,4818,2248,2,8,7,5
104,Sophia,JONES,F,2114,1810,10,6,0,4
105,Mason,MILLER,M,2457,2674,8,7,7,7
106,Ava,DAVIS,F,5261,2736,11,0,0,0
107,Jacob,GARCIA,M,2635,4960,18,0,0,0
108,William,RODRIGUEZ,M,4716,733,1,9,7,8
109,Isabella,WILSON,F,4889,5167,7,6,1,5
110,Ethan,MARTINEZ,M,865,1379,17,20,4,10
111,Mia,ANDERSON,F,2387,2012,28,15,10,11
112,James,TAYLOR,M,2785,1738,14,36,4,13
113,Alexander,THOMAS,M,4514,3550,1,10,9,9
114,Michael,HERNANDEZ,M,4437,183,1,5,0,4
115,Benjamin,MOORE,M,2492,2544,1,5,0,1
116,Elijah,MARTIN,M,123,3067,3,3,1,0
117,Daniel,JACKSON,M,3580,2451,1,5,0,2
118,Aiden,THOMPSON,M,5556,1399,7,7,6,2
119,Logan,WHITE,M,5006,4944,8,8,7,7
120,Matthew,LOPEZ,M,4661,2232,1,6,1,4
121,Abigail,LEE,F,4358,4539,8,10,1,6
122,Lucas,GONZALEZ,M,127,3877,11,5,1,3
123,Jackson,HARRIS,M,4194,3718,4,20,11,6
124,Emily,CLARK,F,1288,3432,16,10,0,9
125,David,LEWIS,M,3061,112,1,10,0,8
126,Oliver,ROBINSON,M,3223,2984,9,5,3,3
127,Jayden,WALKER,M,139,4129,5,17,5,7
128,Joseph,PEREZ,M,1138,2463,1,1,0,0
129,Charlotte,HALL,F,3195,2699,2,2,1,2
130,Gabriel,YOUNG,M,2942,1340,4,3,0,2
131,Samuel,ALLEN,M,3080,3513,7,5,0,2
132,Carter,SANCHEZ,M,4021,3262,1,3,1,2
133,Anthony,WRIGHT,M,3541,1576,5,8,7,7
134,John,KING,M,3304,5510,9,2,2,2
135,Harper,SCOTT,F,4283,2829,8,8,7,4
136,Dylan,GREEN,M,5432,551,9,4,1,2
137,Luke,BAKER,M,3068,3992,2,20,4,8
138,Henry,ADAMS,M,2871,3204,1,0,0,0
139,Madison,NELSON,F,4211,787,20,11,6,9
140,Andrew,HILL,M,2266,450,8,1,0,0
141,Isaac,RAMIREZ,M,1458,2147,2,4,1,2
142,Amelia,CAMPBELL,F,1349,3874,29,22,0,4
143,Christopher,MITCHELL,M,4120,5447,7,0,0,0
144,Joshua,ROBERTS,M,3634,732,9,8,0,7
145,Elizabeth,CARTER,F,1016,2222,8,8,7,7
146,Sofia,PHILLIPS,F,3752,1134,5,18,3,7
147,Wyatt,EVANS,M,733,4147,5,9,0,8
148,Sebastian,TURNER,M,3953,4167,2,13,4,8
149,Owen,TORRES,M,4398,5126,5,10,0,1
150,Evelyn,PARKER,F,389,3396,2,5,1,2
151,Avery,COLLINS,F,3619,5349,20,5,0,3
152,Caleb,EDWARDS,M,5281,2628,7,2,1,0
153,Nathan,STEWART,M,3375,2180,3,24,9,11
154,Ryan,FLORES,M,1785,1704,16,2,2,2
155,Jack,MORRIS,M,5600,3878,9,10,8,8
156,Hunter,NGUYEN,M,2081,2054,1,21,11,10
157,Levi,MURPHY,M,409,3731,7,8,1,7
158,Christian,RIVERA,M,1942,1150,1,7,0,7
159,Jaxon,COOK,M,3480,806,7,8,7,7
160,Julian,ROGERS,M,4052,3342,15,4,1,2
161,Landon,MORGAN,M,664,686,1,13,11,9
162,Chloe,PETERSON,F,330,1714,13,5,0,4
163,Ella,COOPER,F,279,3567,24,7,1,7
164,Grayson,REED,M,3416,1034,7,7,0,7
165,Grace,BAILEY,F,5333,395,9,3,2,2
166,Jonathan,BELL,M,634,1964,13,10,1,9
167,Victoria,GOMEZ,F,4647,4336,2,10,8,9
168,Isaiah,KELLY,M,4983,5202,19,21,13,3
169,Aubrey,HOWARD,F,2117,3453,1,1,0,0
170,Charles,WARD,M,3014,1953,4,7,0,1
171,Thomas,COX,M,2295,4451,4,3,1,1
172,Aaron,DIAZ,M,5267,552,14,9,0,0
173,Scarlett,RICHARDSON,F,4393,1729,2,5,1,4
174,Eli,WOOD,M,950,4052,1,4,0,3
175,Zoey,WATSON,F,5440,913,7,1,0,0
176,Connor,BROOKS,M,960,937,3,10,9,8
177,Jeremiah,BENNETT,M,152,5514,2,4,0,2
178,Cameron,GRAY,M,1575,697,29,7,0,7
179,Addison,JAMES,F,147,5295,8,3,2,2
180,Lily,REYES,F,3083,5434,10,10,1,2
181,Josiah,CRUZ,M,4304,1784,11,8,0,7
182,Lillian,HUGHES,F,3087,2870,1,6,0,4
183,Adrian,PRICE,M,2621,2772,28,11,2,9
184,Natalie,MYERS,F,1577,4894,6,11,4,10
185,Hannah,LONG,F,322,4705,3,7,1,7
186,Aria,FOSTER,F,4347,4996,16,16,0,13
187,Layla,SANDERS,F,5185,3455,20,4,0,2
188,Colton,ROSS,M,729,1755,9,5,1,2
189,Brooklyn,MORALES,F,3725,1372,1,0,0,0
190,Jordan,POWELL,M,1688,1472,3,1,0,0
191,Brayden,SULLIVAN,M,2437,1906,22,4,0,2
192,Nicholas,RUSSELL,M,5519,3850,7,3,1,0
193,Robert,ORTIZ,M,1066,1202,2,8,0,7
194,Angel,JENKINS,M,1105,3843,13,0,0,0
195,Alexa,GUTIERREZ,F,5461,993,8,7,6,7
196,Hudson,PERRY,M,2326,75,25,2,2,2
197,Zoe,BUTLER,F,52,294,28,8,7,7
198,Lincoln,BARNES,M,3355,209,2,1,0,0
199,Penelope,FISHER,F,4236,4457,9,3,1,2
200,Evan,HENDERSON,M,5527,5472,28,1,0,0
201,Dominic,COLEMAN,M,5473,4909,6,13,1,12
202,Austin,SIMMONS,M,2803,232,21,3,1,2
203,Gavin,PATTERSON,M,967,4293,8,7,1,7
204,Nolan,JORDAN,M,5243,4890,1,3,2,2
205,Riley,REYNOLDS,F,398,1805,28,1,0,0
206,Leah,HAMILTON,F,2894,1740,5,5,0,3
207,Audrey,GRAHAM,F,4815,1440,2,1,0,0
208,Savannah,KIM,F,4133,4664,16,8,7,7
209,Parker,GONZALES,M,2724,873,9,4,1,3
210,Adam,ALEXANDER,M,4205,4077,8,6,1,0
211,Chase,RAMOS,M,3526,1418,1,2,2,2
212,Allison,WALLACE,F,3991,639,10,1,0,0
213,Jace,GRIFFIN,M,360,2675,1,3,1,2
214,Samantha,WEST,F,5567,1378,29,1,0,0
215,Nora,COLE,F,109,1064,2,5,0,4
216,Ian,HAYES,M,2896,3751,2,7,0,7
217,Skylar,CHAVEZ,F,4219,3978,2,5,0,0
218,Camila,GIBSON,F,5139,1631,1,7,0,7
219,Cooper,BRYANT,M,3905,3874,15,2,2,2
220,Easton,ELLIS,M,4961,1125,7,5,0,4
221,Kevin,STEVENS,M,2273,5342,26,5,1,2
222,Jose,MURRAY,M,4434,1581,1,5,0,3
223,Tyler,FORD,M,1524,2327,3,1,0,0
224,Anna,MARSHALL,F,2265,4979,14,6,0,4
225,Brandon,OWENS,M,1876,4364,16,2,1,2
226,Asher,MCDONALD,M,2939,2629,1,10,9,0
227,Paisley,HARRISON,F,5555,5118,3,1,0,0
228,Jaxson,RUIZ,M,2807,2930,10,18,12,17
229,Mateo,KENNEDY,M,74,269,6,5,1,3
230,Jason,WELLS,M,2876,943,2,5,1,2
231,Ariana,ALVAREZ,F,1409,4301,9,1,0,1
232,Ayden,WOODS,M,93,1811,10,25,3,9
233,Ellie,MENDOZA,F,3802,4970,6,1,0,0
234,Aaliyah,CASTILLO,F,4775,3983,9,4,1,2
235,Zachary,OLSON,M,1222,1407,28,3,1,2
236,Claire,WEBB,F,5446,4745,10,13,3,12
237,Violet,WASHINGTON,F,5275,2717,14,3,1,2
238,Stella,TUCKER,F,5400,4904,27,5,0,2
239,Sadie,FREEMAN,F,3208,942,7,5,1,3
240,Carson,BURNS,M,635,2568,1,13,10,7
241,Mila,HENRY,F,763,361,24,4,3,2
242,Xavier,VASQUEZ,M,3317,2132,26,21,1,6
243,Gabriella,SNYDER,F,273,3114,20,7,7,7
244,Leo,SIMPSON,M,5121,3354,5,5,4,4
245,Lucy,CRAWFORD,F,4671,5040,7,10,0,7
246,Arianna,JIMENEZ,F,2276,148,7,10,1,8
247,Kennedy,PORTER,F,3087,2496,5,2,0,2
248,Sarah,MASON,F,2412,3460,26,5,0,4
249,Madelyn,SHAW,F,4641,15,2,2,0,2
250,Eleanor,GORDON,F,939,2318,12,5,1,4
251,Kaylee,WAGNER,F,2623,5284,10,5,0,2
252,Caroline,HUNTER,F,2167,1906,25,5,0,2
253,Ezra,ROMERO,M,87,4481,10,29,11,10
254,Bentley,HICKS,M,3018,4425,19,10,0,8
255,Hazel,DIXON,F,2066,2495,18,6,0,4
256,Sawyer,HUNT,M,2060,3459,27,5,1,4
257,Hailey,PALMER,F,3877,4165,5,2,1,0
258,Kayden,ROBERTSON,M,627,2548,3,1,0,0
259,Blake,BLACK,M,1831,5530,26,20,1,12
260,Nathaniel,HOLMES,M,4184,138,3,3,0,2
261,Genesis,STONE,F,1127,4074,15,5,1,4
262,Kylie,MEYER,F,1112,1878,8,10,0,7
263,Ryder,BOYD,M,23,1563,19,2,1,1
264,Theodore,MILLS,M,2153,3350,4,1,0,0
265,Autumn,WARREN,F,2330,4494,2,9,7,8
266,Piper,FOX,F,1082,4333,2,1,0,0
267,Maya,ROSE,F,290,1573,10,27,15,7
268,Elias,RICE,M,3386,5008,10,11,6,7
269,Nevaeh,MORENO,F,530,3490,16,18,13,11
270,Serenity,SCHMIDT,F,789,1903,1,5,0,4
271,Peyton,PATEL,F,2881,4213,4,3,0,1
